time,lon,lat,mode
2016-02-25 17:24:58,116.303021098,39.9551325152,6.0
2016-02-25 17:25:03,116.30302906,39.9550615205,6.0
2016-02-25 17:25:08,116.303056972,39.9549690262,6.0
2016-02-25 17:25:13,116.303070719,39.9548645458,6.0
2016-02-25 17:25:18,116.303082369,39.9548159307,6.0
2016-02-25 17:25:23,116.303080861,39.9547064631,6.0
2016-02-25 17:25:28,116.303083543,39.9545660243,6.0
2016-02-25 17:25:33,116.303085303,39.9544667825,6.0
2016-02-25 17:25:38,116.303087399,39.9544652738,6.0
2016-02-25 17:25:43,116.303088153,39.9544064748,6.0
2016-02-25 17:25:48,116.303090416,39.9543617154,6.0
2016-02-25 17:25:53,116.30309578,39.9542452069,6.0
2016-02-25 17:25:58,116.303109443,39.9540987332,6.0
2016-02-25 17:26:03,116.303126123,39.9539460149,6.0
2016-02-25 17:26:08,116.303126291,39.9536330765,6.0
2016-02-25 17:26:13,116.303160908,39.9531754665,6.0
2016-02-25 17:26:18,116.303209271,39.9525438901,6.0
2016-02-25 17:26:23,116.303285379,39.951812611,6.0
2016-02-25 17:26:28,116.303368192,39.9509900948,6.0
2016-02-25 17:26:33,116.303462405,39.9501196761,6.0
2016-02-25 17:26:38,116.303517139,39.9492312363,6.0
2016-02-25 17:26:43,116.303590983,39.9483712949,6.0
2016-02-25 17:26:48,116.30364907,39.9474740541,6.0
2016-02-25 17:26:53,116.303693578,39.9466611771,6.0
2016-02-25 17:26:58,116.303740516,39.9459292274,6.0
2016-02-25 17:27:03,116.303714365,39.9451855012,6.0
2016-02-25 17:27:09,116.303678323,39.9444227899,6.0
2016-02-25 17:27:14,116.303703971,39.9437120464,6.0
2016-02-25 17:27:19,116.303683184,39.943048954,6.0
2016-02-25 17:27:24,116.30367958,39.9424465048,6.0
2016-02-25 17:27:29,116.303628786,39.9420578778,6.0
2016-02-25 17:27:34,116.30320726,39.9420234282,6.0
2016-02-25 17:27:39,116.302641314,39.9420424551,6.0
2016-02-25 17:27:44,116.302023735,39.9420727976,6.0
2016-02-25 17:27:49,116.30173523,39.9420915312,6.0
2016-02-25 17:27:54,116.301426692,39.9421716202,6.0
2016-02-25 17:27:59,116.301029977,39.9422840635,6.0
2016-02-25 17:28:04,116.300702747,39.9423990632,6.0
2016-02-25 17:28:09,116.300575342,39.9424469239,6.0
2016-02-25 17:28:14,116.300361185,39.942514482,6.0
2016-02-25 17:28:19,116.300072344,39.9426072697,6.0
2016-02-25 17:28:24,116.29993991,39.94265249,6.0
